image_start,step_instruction,question,answer,response,acc
episode_2471/step_002.jpg,Scroll up,Are there any additional contacts listed in the after image that are not in the before image?,Yes,No,0.0
episode_2582/step_000.jpg,Go back to the home page of the app.,Is the background color in the after state white?,No,Yes,0.0
episode_13307/step_005.jpg,Scroll up on the screen to view the articles.,"Is the article ""India emerges as beacon of growth: ITC chairman"" still visible after scrolling up?",No,No,100.0
episode_15597/step_004.jpg,Click on the LOG IN button,Are there more options provided for signing in after the change?,Yes,Yes,100.0
episode_575/step_003.jpg,Click on the cross at the top left corner of the screen.,"After clicking the cross, is the text ""Create an avatar of your pet!"" still visible?",No,No,100.0
episode_15597/step_004.jpg,Click on the LOG IN button,Does the background color change after clicking the LOG IN button?,Yes,No,0.0
episode_2582/step_000.jpg,Go back to the home page of the app.,Is the app name displayed in the after state?,Yes,No,0.0
episode_7643/step_001.jpg,Click on the Read More option in the middle of the screen.,"Is the artwork still titled ""The Starry Night"" after clicking ""Read More""?",Yes,Yes,100.0
episode_12885/step_002.jpg,Go back to the previous page,"After returning, can you see other artworks listed below the current artwork?",Yes,Yes,100.0
episode_2471/step_002.jpg,Scroll up,"In the after image, does the contact ""E"" appear above contact ""F""?",Yes,Yes,100.0
episode_18306/step_002.jpg,Enter urban art in the searchbox,Does the search box now show suggested results related to 'Urban art'?,Yes,Yes,100.0
episode_15476/step_002.jpg,"Type ""Germany"" in the search bar","Is the suggestion ""Berlin, Germany"" displayed after typing ""Germany""?",Yes,No,0.0
episode_16426/step_002.jpg,Swipe up to view the details option ,Did the price of the artwork change after the swipe?,No,No,100.0
episode_7643/step_001.jpg,Click on the Read More option in the middle of the screen.,"Does the ""Read More"" button remain visible after the action is performed?",No,No,100.0
episode_17098/step_001.jpg,Open the article Ukraine's invisible battle to jam Russian weapons,"Does the screen show the source as ""BBC NEWS"" after opening the article?",Yes,Yes,100.0
episode_16426/step_002.jpg,Swipe up to view the details option ,Is there now additional information about the materials used for the artwork after the swipe?,Yes,Yes,100.0
